ticker,week_label,prev_close_date,prev_close,vol,stretch,predicted_low,predicted_high,friday_close_date,friday_close,result,distance
SPX,5/18–5/22,2026-05-16,7408.5,18.43,7.04,7060,7668,2026-05-22,7473.47,WIN,0
NDX,5/18–5/22,2026-05-16,29125.2,25.33,12.22,27535,30684,2026-05-22,29481.64,WIN,0
QQQ,5/18–5/22,2026-05-16,708.93,25.33,12.22,670,747,2026-05-22,717.54,WIN,0
SPX,5/25–5/29,2026-05-22,7473.47,16.7,6.95,7155,7711,2026-05-29,7580.06,WIN,0
NDX,5/25–5/29,2026-05-22,29481.64,22.82,11.71,28032,30903,2026-05-29,30333.18,WIN,0
QQQ,5/25–5/29,2026-05-22,717.54,22.82,11.71,682,752,2026-05-29,738.31,WIN,0
SPX,6/1–6/5,2026-05-29,7580.06,15.32,7.39,7329,7801,2026-06-05,7383.74,WIN,0
NDX,6/1–6/5,2026-05-29,30333.18,22.58,13.03,28857,31780,2026-06-05,28957.6,WIN,0
QQQ,6/1–6/5,2026-05-29,738.31,22.58,13.03,702,774,2026-06-05,705.06,WIN,0
SPX,6/8-6/12,2026-06-05,7383.74,21.51,3.18,7037,7731,2026-06-12,7431.46,WIN,0
NDX,6/8-6/12,2026-06-05,28957.6,30.47,5.51,27056,30822,2026-06-12,29635.95,WIN,0
QQQ,6/8-6/12,2026-06-05,705.06,30.47,5.51,659,750,2026-06-12,721.34,WIN,0
SPX,6/15–6/19,2026-06-12,7431.46,17.68,2.53,7163,7681,2026-06-21,7500.58,WIN,0
NDX,6/15–6/19,2026-06-12,29635.95,27.27,5.77,27665,31568,2026-06-21,30406.19,WIN,0
QQQ,6/15–6/19,2026-06-12,721.34,27.27,5.77,673,768,2026-06-21,740.62,WIN,0
NVDA,6/15–6/19,2026-06-12,205.19,36.46,,184,226,2026-06-21,210.69,WIN,0
TSLA,6/15–6/19,2026-06-12,406.43,53.12,,346,467,2026-06-21,400.49,WIN,0
AAPL,6/15–6/19,2026-06-12,291.13,24.71,,271,311,2026-06-21,298.01,WIN,0
XOM,6/15–6/19,2026-06-12,147.01,33.06,,133,161,2026-06-21,137.81,WIN,0
AMZN,6/15–6/19,2026-06-12,238.55,37.15,,214,264,2026-06-21,244.39,WIN,0
GOOG,6/15–6/19,2026-06-12,358.16,36.32,,322,395,2026-06-21,367.46,WIN,0
MSFT,6/15–6/19,2026-06-12,390.74,35.76,,351,430,2026-06-21,379.4,WIN,0
META,6/15–6/19,2026-06-12,566.98,39.34,,504,630,2026-06-21,577.22,WIN,0
NFLX,6/15–6/19,2026-06-12,80.34,33.47,,73,88,2026-06-21,77.38,WIN,0
AMD,6/15–6/19,2026-06-12,511.57,82.36,,393,630,2026-06-21,537.37,WIN,0
DELL,6/15–6/19,2026-06-12,395.57,77.56,,309,482,2026-06-21,409.5,WIN,0
MU,6/15–6/19,2026-06-12,981.61,110.26,,677,1287,2026-06-21,1133.99,WIN,0
NOW,6/15–6/19,2026-06-12,102.15,67.41,,83,122,2026-06-21,95.04,WIN,0
CAT,6/15–6/19,2026-06-12,910.57,45.88,,793,1028,2026-06-21,985.82,WIN,0
GS,6/15–6/19,2026-06-12,1062.75,39.32,,945,1180,2026-06-21,1096.56,WIN,0
NBIS,6/15–6/19,2026-06-12,232.36,124.73,,151,314,2026-06-21,286.69,WIN,0
SPX,6/22–6/26,2026-06-12,7431.46,17.68,2.53,7163,7681,2026-06-21,7500.58,WIN,0
NDX,6/22–6/26,2026-06-12,29635.95,27.27,5.77,27665,31568,2026-06-21,30406.19,WIN,0
QQQ,6/22–6/26,2026-06-12,721.34,27.27,5.77,673,768,2026-06-21,740.62,WIN,0
NVDA,6/22–6/26,2026-06-12,205.19,33.35,,186,224,2026-06-21,210.69,WIN,0
TSLA,6/22–6/26,2026-06-12,406.43,32.47,,369,444,2026-06-21,400.49,WIN,0
AAPL,6/22–6/26,2026-06-12,291.13,29.9,,267,316,2026-06-21,298.01,WIN,0
XOM,6/22–6/26,2026-06-12,147.01,55.03,,124,170,2026-06-21,137.81,WIN,0
AMZN,6/22–6/26,2026-06-12,238.55,31.57,,217,260,2026-06-21,244.39,WIN,0
GOOG,6/22–6/26,2026-06-12,358.16,34.1,,324,393,2026-06-21,367.46,WIN,0
MSFT,6/22–6/26,2026-06-12,390.74,31.12,,356,425,2026-06-21,379.4,WIN,0
META,6/22–6/26,2026-06-12,566.45,30.37,,518,615,2026-06-21,577.22,WIN,0
NFLX,6/22–6/26,2026-06-12,80.34,33.03,,73,88,2026-06-21,77.38,WIN,0
AMD,6/22–6/26,2026-06-12,511.57,74.95,,404,620,2026-06-21,537.37,WIN,0
DELL,6/22–6/26,2026-06-12,395.57,81.06,,305,486,2026-06-21,409.5,WIN,0
MU,6/22–6/26,2026-06-12,981.61,132.48,,615,1348,2026-06-21,1133.99,WIN,0
NOW,6/22–6/26,2026-06-12,102.15,57.5,,86,119,2026-06-21,95.04,WIN,0
CAT,6/22–6/26,2026-06-12,910.57,53.31,,773,1048,2026-06-21,985.82,WIN,0
GS,6/22–6/26,2026-06-12,1062.75,38.03,,949,1177,2026-06-21,1096.56,WIN,0
NBIS,6/22–6/26,2026-06-12,232.36,142.0,,128,337,2026-06-21,286.69,WIN,0
SPY,6/22–6/26,2026-06-18,746.74,14.63,,716,778,2026-06-26,728.99,WIN,0
SPX,6/29–7/3,2026-06-18,7500.58,16.4,2.53,7249,7734,2026-06-26,7354.02,WIN,0
NDX,6/29–7/3,2026-06-18,30406.19,26.31,6.75,28485,32290,2026-06-26,29118.24,WIN,0
QQQ,6/29–7/3,2026-06-18,740.62,26.31,6.75,694,787,2026-06-26,706.52,WIN,0
SPX,6/29–7/3,2026-06-18,7500.58,14.4,,7196,7805,2026-06-26,7354.02,WIN,0
NDX,6/29–7/3,2026-06-18,30406.19,26.16,,28165,32647,2026-06-26,29118.24,WIN,0
SPY,6/29–7/3,2026-06-18,746.74,14.63,,716,778,2026-06-26,728.99,WIN,0
QQQ,6/29–7/3,2026-06-18,740.62,26.05,,686,795,2026-06-26,706.52,WIN,0
NVDA,6/29–7/3,2026-06-18,210.69,40.36,,187,235,2026-06-26,192.53,WIN,0
TSLA,6/29–7/3,2026-06-18,400.49,45.67,,349,452,2026-06-26,379.71,WIN,0
AAPL,6/29–7/3,2026-06-18,298.01,26.89,,275,321,2026-06-26,283.78,WIN,0
XOM,6/29–7/3,2026-06-18,137.81,36.93,,123,152,2026-06-26,136.54,WIN,0
AMZN,6/29–7/3,2026-06-18,244.39,35.7,,220,269,2026-06-26,232.69,WIN,0
GOOG,6/29–7/3,2026-06-18,367.46,34.72,,332,403,2026-06-26,334.69,WIN,0
MSFT,6/29–7/3,2026-06-18,379.4,35.38,,342,417,2026-06-26,372.97,WIN,0
META,6/29–7/3,2026-06-18,577.22,39.2,,513,641,2026-06-26,550.25,WIN,0
NFLX,6/29–7/3,2026-06-18,77.38,33.72,,70,85,2026-06-26,73.81,WIN,0
AMD,6/29–7/3,2026-06-18,537.37,80.06,,416,659,2026-06-26,521.58,WIN,0
DELL,6/29–7/3,2026-06-18,409.5,85.68,,311,508,2026-06-26,399.49,WIN,0
MU,6/29–7/3,2026-06-18,1133.99,139.86,,687,1581,2026-06-26,1132.33,WIN,0
NOW,6/29–7/3,2026-06-18,95.04,62.26,,78,112,2026-06-26,98.34,WIN,0
CAT,6/29–7/3,2026-06-18,985.82,47.77,,853,1118,2026-06-26,997.47,WIN,0
GS,6/29–7/3,2026-06-18,1096.56,39.95,,973,1220,2026-06-26,1019.61,WIN,0
NBIS,6/29–7/3,2026-06-18,286.69,125.42,,185,388,2026-06-26,240.3,WIN,0
